SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
Asylum seeker,Agricultural ,Alcohol abuse,Access to education,Empower AND women,Aquifer,Affordable energy,Child labour,Clean technologies,Ageism,Air pollution,Circular economy,Carbon emissions ,Coastlines,Afforestation,Accountable institutions,Civil society partnerships
Basic services,Agriculture AND sustainable,Antenatal ,Basic education,Empower girls,Contaminated,Alternative energy,Child soldiers,Communications technology ,Classism ,Air quality,Consumer levels,Climate action,Conserve oceans,Alien species,Arbitrary detention,Development assistance
Developing countries,Crop,Child deaths,Early childhood development,Empowering girls,Defecation,Clean energy,Decent work,Data banks,Culture,Arts AND heritage,Consumerism,Climate adaptation,Coral bleaching,Biodiversity,Arms trafficking,Doha Development Agenda
Disadvantaged,Crop diversity,Contraceptive use,Education for sustainability,Empowering women,Desalination,Clean energy technology,Development oriented policy,Enterprises,Development assistance,Cultural heritage,Efficient use of resources,Climate change planning,Coral reef,Biodiversity Conservation,Birth registration,Foreign direct investments
Financial inclusion,Crops,Death rate,Education in developing countries,Empowerment AND women,Diarrhoeal diseases,Clean fuel,Economic growth,Environmentally sound technologies,Disabilities,Decentralisation,Energy consumption,Climate change policy,Fish species,Deforestation,Bribery,Free trade
Income Equality ,Doha Round,Disability,Equal education,Exploitation AND girls ,Fresh water,Clean fuel technology,Economic productivity,Financial services,disability,Development planning,Energy efficiency,Climate early warning,fish stock,Desertification,Combat terrorism,Global partnership
Microfinance,Farming,Family planning,Equitable education,Exploitation AND women ,Hydropower,Clean fuels,Entrepreneurship,Foster innovation ,Discrimination,Disaster management,Energy use,Climate hazards,Fish stocks,Drylands,Conflict resolution,Global stability
Non discrimination,Food gap ,Immunisation ,Gender disparities in education,Female genital mutilation,Hygiene,Energy efficiency,Equal pay,Industrial diversification,Equal opportunity,Disaster risk reduction,Fast fashion ,Climate impact,Fisheries,Ecosystem restoration ,Corruption ,International aid
Poverty,Food poverty,Malaria,Global education,Feminism,Irrigation,Fossil Fuel,Financial services,Industrialisation,Equal pay ,Disaster Strategy,Food losses,Climate mitigation,fishery,Extinct,Enforced disappearance,International cooperation
Refugee,Food production,Mental health,Learning opportunities,Forced marriage,River basins,Green economy,Forced labour,Information and communication technology,Ethnicity,Fine particulate matter,Food supply,Climate refugees,Fishing practices,Forest management,Hate crime,International population 
Social protection,Food security,Neonatal ,Lifelong learning,Gender AND Discrimination ,Sanitation,Hydroelectric,GDP growth,Internet access,Homophobia,Green spaces,Food waste,Climate related hazards,Illegal fishing,Illegal wildlife products,Human trafficking,International support
Third World,Hunger,Premature birth ,Literacy skills,Gender discrimination,Sewerage,Natural gas ,Global resource efficiency,Mobile networks,Income inequality,Human settlements,Fossil fuel,Climate resilience,Marine ecosystems,Illicit trafficking,Illegal arms,Knowledge sharing
Vulnerable,Hungry,Reducing mortality,Numeracy skills,Gender equality,Sewers,Reliable energy ,Global trade,Resilient infrastructure,Race AND discriminate,Impact of cities,Future proof,COP 21,Marine pollution,invasive species,Illicit financial flows,Multi stakeholder partnerships
Wealth distribution,Malnourished,Sexual health,Post primary education ,gender parity,Toilet ,Renewable energy,Gross domestic product ,Resource use efficiency,Racism ,Inadequate housing,Material goods,COP 22,Marine resources,Land conservation,Inclusive institutions,Public private partnerships
,Malnutrition,Substance abuse ,Primary education,Governance and gender,Toilets,Renewable power,Human trafficking,Sustainable industrialisation,Religion,Informal settlements,Materialism,Cyclone ,Ocean acidification,Land degradation,Inclusive society,Science cooperation agreements
,Rural development,Vaccination,Qualified teachers,Human rights,Untreated wastewater,Solar power,Inclusive economic growth,Sustainable infrastructure,sex AND inequality ,Land consumption,Natural resources,Drought ,Ocean temperature,Land loss,Judiciary,Technology cooperation agreements
,Small scale food producers,World Health Organisation,Refugees and learning ,Human trafficking,Wastewater,Sustainable AND energy,Job creation,Technological capabilities,Sexism,local materials,Obsolescence,Extreme weather ,overexploitation AND fish,Land use ,Justice,Weighted tariff average
,Soil pollution ,,School enrolment,Marginalised,Water access,Sustainable AND power,Labour market,,Social protection,Natural disasters,Overconsumption,Forest fire ,Overfishing,Manage forest,Legal identity,World Trade Organization
,Stunted growth,,Secondary education,Reproductive health,Water harvesting ,Wave power,Labour rights,,Vulnerable nations,Natural heritage,procurement,Global temperature ,Productive oceans,Managed forests,National Security,
,Stunting,,Teacher training,Reproductive rights,Water quality ,Wind energy ,Micro finance,,,overcrowding,Reduce waste ,Global warming,Protected areas ,Permaculture,Non violence,
,Sufficient food,,Universal education,Sexual exploitation,water resources,Wind power,Migrant workers,,,Public spaces,Resource efficiency,Greenhouse gas,Sea grasses,Poaching,Organized crime,
,Trade diversity,,Vocational training,Sexual health,water scarcity,,Modern slavery,,,Public transport,Responsible production chains ,Greenhouse gases,,Protected fauna,Paris principles,
,Undernourished,,,Sexual violence,water supply,,Poverty eradication,,,Resilient buildings,Supply chain,Hurricanes ,,Protected flora,Peace,
,Wasting AND food,,,Social inclusion,,,Poverty line,,,Risk reduction strategy,Sustainable consumption,Ice loss,,Reforestation,Peaceful ,
,,,,Violence AND girls,,,Productive employment,,,Road safety,Sustainable tourism,Low carbon economy,,rewilding,Physical abuse,
,,,,Violence AND women,,,Quality jobs,,,Shanty,Wasteful consumption,Methane emissions ,,Soil degradation,Police,
,,,,Women in work,,,Safe work,,,Slums,,Natural disasters,,sub species ,Prison ,
,,,,Women's empowerment ,,,Secure work,,,Smart cities ,,Nitrogen oxide emissions ,,Threatened species,Prisons,
,,,,Women's rights,,,Slavery,,,Suburban,,Ocean warming,,Wetland conservation  ,Psychological abuse,
,,,,Workplace equality,,,Social policies,,,Sustainable AND city,,Paris Agreement,,Wildlife,Representative decision making,
,,,,,,,Stable employment,,,Sustainable AND communities,,rising sea,,,Rule of law,
,,,,,,,Stable jobs,,,Sustainable buildings,,Rising sea level,,,Security threats,
,,,,,,,Sustainable economic growth,,,Sustainable urbanisation,,Sea level rise,,,Sexual abuse,
,,,,,,,Sustainable tourism,,,Tourism ,,Warming,,,Sexual violence,
,,,,,,,Unemployment,,,Town planning,,,,,Stolen assets,
,,,,,,,Work opportunities,,,Urban development,,,,,Strong institutions,
,,,,,,,Youth employment,,,Urban planning,,,,,Tax evasion,
,,,,,,,Youth unemployment,,,Urban sustainability,,,,,Theft,
,,,,,,,,,,Urbanisation,,,,,Torture,
,,,,,,,,,,,,,,,Un sentenced detainees,
,,,,,,,,,,,,,,,Unstable societies,
,,,,,,,,,,,,,,,Victims of violence,
,,,,,,,,,,,,,,,Violence,
,,,,,,,,,,,,,,,weapon,