AI and Machine Learning,Bioinformatics,Cybersecurity,Data Sciences,Software Engineering,Robotics,"Synthetic Biology, Tissue Engineering, Regenerative Medicine",Pharmacology and pharmaceuticals
activation function,Amino acid,access control,bag of words,Agile development,Actuator,Active Pharmaceutical Ingredient,Active Immunity
active learning,Anticodon,Admin privilege,Bayes Theorem,Agile methods,Agent Based Systems,Antibody,Active Site
agglomerative clustering,Antigen,Antivirus,Bayesian network,Alpha testing,Agricultural Automation,Antigen,Adverse Drug Reaction
artificial general intelligence,Bioinformatics,Antivirus software,Behavioural analytics,Anti patterns,Assembly Robot,Artemisinin,Agonist
artificial intelligence,Carboxyl group,Asymmetric encryption,Big data,Apache Subversion,Automaton,Autoimmune Disease,Allergic Response
augmented reality,cDNA,Authenticated encryption,bigram,Automated program repair,Autonomous Agents,Biobricks,Allergy
backpropagation,Chromatin,Backdoor,data analysis,Beta testing,Autonomous systems,Bioeconomy,Allosteric modulator
Bayesian neural network,Chromosome,block cipher,Data analyst,Bytecode,Autonomous Technology,Biofuel,Analgesic
binary classification,Codon,Botnet,Data analytics,Class diagram,Autonomous vehicle,Biohacking,Anesthetic
bounding box,Cytoplasm,Browser fingerprinting,data augmentation,Code bug,Autonomous Vehicle Navigation,Biologic,Antibiotic
calibration layer,Cytosine,Brute force attack,data engineer,Code documentation,Bionics,Biological Engineering,Antibody
classification model,Deoxyribonuclease,Catfishing,Data governance,Code refactoring,Cartesian coordinate Robot,Biomedical Engineering,Antibody Production
confusion matrix,deoxyribonucleic acid,Cipher,Data lake,Code smells,Climbing Robots,Biopharmaceutical,Bacteria
convolutional filter,DNA,ciphertext,Data mining,Code style,Cloud robotics,Bioreactor,Bioassay
convolutional layer,DNA fingerprinting,Clickjacking,Data modeling,Data modeling,Cobots,Biosensor,Bioavailability
convolutional neural network,DNA polymerase,Cloud security,Data pool,Database management system,Cognitive Control Architectures,Carlson Curve,Biologics
decision tree,DNA sequencing,Computer Network Attack,data science,Debugging,Cognitive Modeling,Cell Culture,Biopharmaceutics
deep neural network,Enzyme,Computer virus,Data Set,Delta debugging,Collaborative Robot,Cell Line,Bioreactor
dimension reduction,Gel electrophoresis,Computer worm,Data visualization,Design patterns,Collision Avoidance,Cell Strain,Biotech
DQN,Gene expression,Credit Card Fraud,Data Warehouse,Docker,"Compliant Robot
",Cell Therapy,Biotransformation
empirical risk minimization,Genetic engineering,Crimeware,Data wrangling,Event driven language,Controlled robot,Chassis,Biotranslocation
epsilon greedy policy,Genotype,Crypojacking,dataset,Executable code,Controlled robot dynamics,Clinical Trial,Body weight
exploding gradient problem,Guanine,cryptographic system,Deep Learning,Explicit declaration,Cyborgs,Codon,Carcinogenicity
false negative,Immunoglobulin,Cryptography,divisive clustering,Firebase,Cylindrical coordinate Robot,DNA,Central Nervous System
false positive,Meiosis,Cryptosystem,feature engineering,Full stack developer,Developmental Robotics,DNA Synthesis,Chemotherapy
feature engineering,Messenger RNA,Cyber Crime,feature extraction,Git,Domestic Robotics,Drug Delivery,Cheng-Prusoff equation
feature extraction,Mitosis,Cyber security,feature set,Github,Downtime,Drug Product,Chromatography
feature set,mRNA,Cyber Terrorism,feature vector,Haskell,Embodied Cognitive Science,Engineering Biology,Clinical Design
feature vector,Mutagen,Cyber Warfare,Hadoop,High level language,End effector,Fermentation,Clinical Supply
federated learning,Nuclease,cyberattack,imbalanced dataset,Human computer interface,Epigenetic Robotics,Fermentor,Clinical Therapeutic Index
feedforward neural network,Peptide,cyberespionage,Machine learning engineer,IDE,Evolutionary Robotics,Gene Drive,Concentration response curve
FFN,Peptide bond,Cybersecurity,machine learning model,Implicit declaration,Factory Automation,Gene Expression,Contamination
fully connected layer,Polymerase chain reaction,data breach,Markov Chain,Independent testing,Field Robots,Gene Therapy,Dealthcare
GAN,rDNA,Data encryption,matplotlib,Intermediate code,Force Feedback,Genetic Engineering,Dentistry
generative adversarial network,restriction endonuclease,Data protection,naive Bayes classifier,Interpreter,Forward Kinematic Solution,Genetically Modified Organism,Desensitization
gradient descent,Restriction enzyme,DDoS Attack,neural network,Jackson Structured Programming,Forward Kinematics,Genome,Dissolution Time
hyperparameter,RNA,Decipher,PageRank,Java,Gripper,Glycosylation,DNA
input layer,Transfer RNA,Denial of service,pivot table,JavaScript,Haptic feedback,Immunotherapy,DNA Sequence
Kernel Support Vector Machines,tRNA,Diffie Hellman key exchange,posterior distribution,JUnit,Human centered Automation,Kozak Sequence,Dose
latent dirichlet allocation,,digital forensics,predictive analytics,Machine code,Human centered Robotics,Metabolite,Dose-Duration Curve
learning rate,,Digital signatures,predictive modeling,Module library,Human robot,Molecular targeted drug,Drug Delivery
LSTM,,Distributed Denial of Service,Predictive Modelling,Mutation testing,Humanoid,Nucleic Acids,Electrophoresis
machine learning,,DOS,preprocessing,NoSQL,Humanoid Robot Systems,artificial cells,Emergency Medicine
model training,,Encipher,Prior distribution,Object oriented design,Industrial robot,artificial chromosomes,Endocrinology
multinomial classification,,Encrypted web traffic,Reinforcement learning,Object-oriented language,Intelligent robot,Artificial organ,Enzyme
natural language processing,,Encryption,supervised learning,Pair programming,Intelligent systems,Bacterial artificial chromosome,Ethical Pharmaceutical
natural language understanding,,Fileless Malware,support vector machine,Penetration testing,Intelligent Transportation Systems,biobanking,Food and Drug Administration
neural network,,firewall,Test set,Portable code,Inverse kinematics,biological specimen banks,Gene
Output layer,,Firmware,Training set,Portable software,Jacobian matrix,biorepository,Gene Expression
overfitting,,Forward secrecy,trigram,Procedural language,Joint,biospecimen,Gene Therapy
perceptron,,Hacker,Unstructured data,Program analysis,Joint Interpolated Motion,cell assays,Generic Drugs
pre-trained model,,Hacktivist,unsupervised learning,Program repair,Joint Motion Type,cell chips,Generic Pharmaceutical
proxy labels,,HTTP Secure,Validation set,Programming team,Joint Space,cell fusion,Genetic Engineering
random forest,,HTTPS,,Revision control,Kinematics,cell microarrays,Genomics
Rectified Linear Unit,,Human centred security,,Scripting language,Logistics,cell sorting,Genotype
recurrent neural network,,Identity check,,Scrum,Marine Robotics,Cell therapy,Habituation
reinforcement learning,,Identity theft,,Scrum development,Material Processing Robot,cell-based imaging,Hormone
ReLU,,Information security,,Scrum master,Medical Robots,cellular engineering,Immunology
RNN,,Insecure channel,,Singleton pattern,Mining Robotics,cellular imaging,Infectious Disease
scikit learn,,Insider threat,,Software bug,Motion Axis,cellular models,Infusion Kinetics
semi supervised learning,,keylogger,,Software deployment,Motion Planning,cellular reprogramming,Insulin
semi supervised machine learning,,malicious software,,Software development environment,Nanobot,cryobiology,Kinase
sentiment analysis,,Malware,,Software development process,Neurorobotics,cryonics,Lyophilisation
sigmoid function,,Message authentication,,Software engineering,Offline programming,flow cytometry,Lyophiliser
squared hinge loss,,Message authentication code,,Source code,Path Planning,genotype tissue expression,Metabolic Diseases
stochastic gradient descent,,Multi factor authentication,,Source code management,Pathfinding,human tissue engineered product,Microbial Barrier
structural risk minimization,,National Cybersecurity Strategy,,Source control,PLC,hybridoma,Molecular Diagnostics
supervised learning,,National Security Agency,,SQL,Program robot,image cytometry,Mutagenesis
supervised machine learning,,Network security,,SVN,Programmable Logical Controller,immortalizing oncogene,Neurology
Support Vector Machines,,NSA,,Symbolic execution,Rehabilitation Robotics,immunohistochemistry,Nonrenal Clearance
SVM,,Password protection,,Systems analyst,Revolute Joint,Laser Capture Microdissection,Nucleic Acid
Tensor Processing Unit,,Password Weakness,,Systems developer,Robot,laser tweezers,Obstetrics
TensorBoard,,pen testing,,Systems specification,Robot controller,microdissection,Oncology
TensorFlow,,Phishing,,Test driven development,Robot Coordinate System,microimaging,Partial agonist 
TensorFlow Serving,,Piggyback programs,,UML,Robot dynamics,micromanipulation,Peripheral Neuropathy
test set,,Plaintext,,Unified Modeling Language,Robot Integrator,microtissues,Pharma
TPU,,Plaintext attack,,Unit testing,Robot joint,nuclear transfer,Pharma Resources
Training set,,Privacy,,Version control,Robot kinematics,optical trapping,Pharmaceutical Development
transfer learning,,Private data,,Visitor pattern,Robot motion planning,optical tweezers,Pharmaceutical Research
true negative,,Private key infrastructure,,Waterfall model,Robot programming,organotypic,Pharmaceuticals
true positive,,Public key infrastructure,,,Robot Programming Language,organotypic models,Pharmaceutics
underfitting,,ransomware,,,,plasmid,Pharmacodynamics
unsupervised learning,,ReCAPTCHA,,,,Regenerative medicine,Pharmacogenetics
unsupervised machine learning,,Rootkit,,,,Scar tissue,Pharmacokinetics
validation set,,Routing security,,,,single cell analysis,Pharmacological
vanishing gradient problem,,Scareware,,,,site-directed mutagenesis,Pharmacology
Wasserstein loss,,Secure channel,,,,small intestinal submucosa,Pharmacovigilance
,,Secure Sockets layer,,,,Stem cell,Potency
,,Secure Sockets Layer certificate,,,,synthetic lethal screening,Preclinical Studies
,,Secure system,,,,tissue array analysis,Protein
,,Security engineering,,,,tissue banking,Proteomics
,,Security policy,,,,tissue chips,Radiology
,,Security token,,,,tissue engineering ,Rheumatology
,,Session security,,,,tissue microarrays,Therapeutics
,,Social engineering,,,,tissue microdissection,Toxicology
,,Software security,,,,tissue models,Vaccination
,,Software Vulnerability,,,,tumoroid,Vaccine
,,spear phishing ,,,,Ventricular assist device,White Blood Cell
,,Spoofing,,,,xenograft,Yeast Artificial Chromosome
,,spyware,,,,xenotransplantation,Zoonosis
,,SQL Injection,,,,Tissue engineering,
,,SSL certificate,,,,Cell transplantation,
,,Symmetric encryption,,,,Artificial organs,
,,TLS,,,,Bioartificial organs,
,,TOR,,,,tissue components,
,,Transport layer security,,,,Noncellular components,
,,Trojan,,,,Regenerative medicine,
,,Trojan horse,,,,Allogeneic,
,,two factor authentication,,,,Allograft,
,,Unenciphered message,,,,Autograft,
,,Virtual Private Network,,,,Autologous,
,,Virtual Warfare,,,,Cell based medicinal product,
,,access control,,,,Cell culture,
,,Admin privilege,,,,Cell therapy,
,,Antivirus,,,,extracorporeal,
,,Antivirus software,,,,Gene therapy,
,,,,,,Genotype,
,,,,,,Heterologous use,
,,,,,,Heterotopic,
,,,,,,Homologous use,
,,,,,,Homotopic,
,,,,,,Tissue,
,,,,,,Xenogeneic,
,,,,,,Xenograft,
,,,,,,Admixed embryo,
,,,,,,Blastocyst,
,,,,,,stem cell,
,,,,,,Cryopreservation,
,,,,,,Cytoplasmichybridembryos,
,,,,,,embryonic stem cell,
,,,,,,Foetal stem cell,
,,,,,,Mesenchymal stem cell,
,,,,,,Somatic stem cell,
,,,,,,Somatic cell nuclear transfer,
