AI and Machine Learning,Bioinformatics,Cybersecurity,Data Sciences,Software Engineering,Robotics,Synthetic Biology,Pharmacology and pharmaceuticals,Regenerative Medicine & Tissue Engineering,Prevention & Management of Disease and Conditions,Promotion of Well-Being (Health Promotion),"Detection, Screening and Diagnosis",Development and Evaluation of Treatment and Therapeutic Interventions,Personalised Medicine,Behaviour Change,Healthy Ageing,Health Economics,Built Environment,Health Ethics & Policy,Advanced Biomaterials,Biophysics and Mechanobiology,Bioprocessing and Manufacturing,Disease Models,Computational Modelling & Mathematical Sciences,Research Methodology,Devices and Sensors,Patient data,Imaging / Novel Imaging Technology,Pervasive Computing,Vaccine
activation function,Amino acid,access control,bag of words,Agile development,Actuator,Active Pharmaceutical Ingredient,Active Site,Admixed embryo,chemopreventative,determinants of health,biological markers,drug resistance,Disease risk assessment,behaviour change,Adolescent,health economics,Architectural design,health ethics,Hydrogel,biophysics,Bioprocessing, Deterministic epidemic model,Actuarial science,user-centred approach,Accelerometers,Electronic Health Record,Computed tomography,Ambient intelligence,Active Immunity
active learning,Anticodon,Admin privilege,Bayes Theorem,Agile methods,Agent Based Systems,Antibody,Adverse Drug Reaction,Allogeneic,disease management,health promotion,develop diagnostic tests,In-vitro fertilization,Individualised pharmacotherapy,behaviour change techniques,adult,micro-finance,Evidence-based design,health policy,Microfiber,Cellular mechanosensing,Biomanufacturing, Stochastic epidemic model,computational modelling,co-design,embedded systems,NHS health records,Fluoroscopy,Ubicomp,Adjuvant
agglomerative clustering,Antigen,Antivirus,Bayesian network,Alpha testing,Agricultural Automation,Antigen,Agonist,Allograft,end of life care,health protection,develop prognostic tests,pharmacokinetics,Individualised treatment,behavioural interventions,age factors,health-financing,Facility design,healthcare literacy,Microfibre,Extracellular matrix,bioproduct,approximating epidemics,Computational science,qualitative methods,Gas Sensors,NHS patient data,fMRI,Ubiquitous computing,Antibody production
artificial general intelligence,Bioinformatics,Asymmetric encryption,Behavioural analytics,Anti patterns,Assembly Robot,Artemisinin,Allergic Response,artificial cells,individual care needs,health protective nutrients,diagnostic method evaluation,phototherapies,Patient specific therapy,behavioural risk,age-friendly,healthcare spending,Health facility environment,digital inclusion,Nanofiber,Fluid Biomechanics,downstream processing,basic reproduction number,computer simulation modelling,quantitative methods,Gyroscope,patient data,Imaging,Wearable technology,Booster
artificial intelligence,Carboxyl group,Authenticated encryption,Big data,Apache Subversion,Automaton,Autoimmune Disease,Allergy,artificial chromosomes,lifestyles affecting health,Health risk valuation,diagnostic model evaluation,therapeutic intervention development,Personalised diagnostic medicine,Contemplation,age-inclusive policy,macroeconomics of health,Hospital construction,reduce health inequalities,Nanofibre,mechanobiology,upstream processing,Compartmental models,Continuum mechanics,intervention studies,hardware system,primary health data,MRI,Mobile systems,Breakthrough infection
augmented reality,cDNA,block cipher,bigram,Automated program repair,Autonomous Agents,Biobricks,Allosteric modulator,Artificial organs,Modifiable risk behaviors ,healthy behaviors,early detection,therapeutic intervention evaluation,Personalised healthcare,healthy behaviour,aged,financing health,Hospital design,patient privacy protection,Materials testing,mechanochemical processes,biorefinery,control of infection,Control theory,cohort studies,Humidity Sensors,,neuroradiology,Home-based systems,community immunity
backpropagation,Chromatin,Botnet,data analysis,Beta testing,Autonomous systems,Biohacking,Analgesic,Autograft,palliative care,Ottawa Charter,marker discovery,treatment development,Personalised therapy,Precontemplation,ageing,health insurance,inclusive design,informed consent,biomimetic,mechanoreception,bioproduction,Disease spread,Econometrics,epidemiology,Infrared Sensors,,Radiology,,Efficacy
Bayesian neural network,Chromosome,Browser fingerprinting,Data analyst,Bytecode,Autonomous Technology,Biopharmaceutical,Anesthetic,Autologous,primary disease prevention,smoking cessation,marker evaluation,,Precision medicine,theory of planned behaviour,ageing and health,,accessible facility,ethical considerations,blood substitute,mechanoresponse,bioprocess,Disease surveillance,Mathematical chemistry,,Internet of Things,,Ultrasound,,Herd immunity
binary classification,Codon,Brute force attack,Data analytics,Class diagram,Autonomous vehicle,Biosensor,Antibiotic,Bacterial artificial chromosome,Social determinants of health,wellbeing promotion,predictive marker,,Stratified medicine,theory of reasoned action,ageism,,Sanitary accommodation,healthcare reform,artificial membranes,Mechanosensing,,Endemic steady state,mathematical sciences,,Level Sensors,,x-ray,,Immunity
bounding box,Cytoplasm,Catfishing,data augmentation,Code bug,Autonomous Vehicle Navigation,Cell Line,Antibody,Bioartificial organs,,patient-centeredness,psychological markers,,Targeted therapy,theory-based behaviour change,aging,,accommodate wheelchair users,health regulation,artificial receptors,Mechanosensitive channels,,epidemic modelling,multiscale modelling,,microcontroller,,,,Immunization
calibration layer,Cytosine,Cipher,data engineer,Code documentation,Bionics,Cell Strain,Antibody Production,biobanking,,patient experience,screening impact,,,Motivation theory,decade of healthy ageing,,,nutrition policy,,Mechanotransduction,,epidemiological networks,Operations research,,microprocessor,,,,Immunology
classification model,Deoxyribonuclease,ciphertext,Data governance,Code refactoring,Cartesian coordinate Robot,Codon,Bacteria,biological specimen banks,,culture of care,,,,Family intervention,elder abuse,,,bioethics,,,,infectious disease modelling,Quantitative biology,,Optical Sensors,,,,Investigational vaccine
confusion matrix,deoxyribonucleic acid,Clickjacking,Data lake,Code smells,Climbing Robots,DNA,Bioassay,biorepository,,healthcare service accessibility,,,,Behavioural treatment,healthy ageing,,,,,,,Pandemic,Statistics,,Pressure Sensors,,,,Live vaccine
convolutional filter,DNA fingerprinting,Cloud security,Data mining,Code style,Cloud robotics,DNA Synthesis,Bioavailability,biospecimen,,healthcare service acceptability,,,,,long-term integrated care,,,,,,,phylodynamics,Theoretical physics,,Proximity Sensors,,,,Passive immunity
convolutional layer,DNA polymerase,Computer Network Attack,Data modeling,Data modeling,Cobots,Drug Delivery,Biologics,Blastocyst,,healthcare service affordability,,,,,digital companion,,,,,,,predictive mathematical model,,,sensor,,,,Passive immunity
convolutional neural network,DNA sequencing,Computer virus,Data pool,Database management system,Cognitive Control Architectures,Drug Product,Biopharmaceutics,cell assays,,,,,,,inclusive retirement communities,,,,,,,spread of infection,,,Temperature Sensors,,,,Pathogen
decision tree,Enzyme,Computer worm,data science,Debugging,Cognitive Modeling,Fermentor,Bioreactor,Cell based medicinal product,,,,,,,,,,,,,,transmission of infection,,,transducers,,,,Vaccination
deep neural network,Gel electrophoresis,Credit Card Fraud,Data Set,Delta debugging,Collaborative Robot,Gene Drive,Biotech,cell chips,,,,,,,,,,,,,,,,,Ultrasound sensor,,,,
dimension reduction,Gene expression,Crimeware,Data visualization,Design patterns,Collision Avoidance,Gene Expression,Biotransformation,Cell culture,,,,,,,,,,,,,,,,,Emotion recognition system,,,,
deep q-network,Genetic engineering,Crypojacking,Data Warehouse,Docker,"Compliant Robot
",Genetic Engineering,Biotranslocation,cell fusion,,,,,,,,,,,,,,,,,Emotion recognition technology,,,,
empirical risk minimization,Genotype,cryptographic system,Data wrangling,Event driven language,Controlled robot,Genetically Modified Organism,Body weight,cell microarrays,,,,,,,,,,,,,,,,,,,,,
epsilon greedy policy,Guanine,Cryptography,dataset,Executable code,Controlled robot dynamics,Genome,Carcinogenicity,cell sorting,,,,,,,,,,,,,,,,,,,,,
exploding gradient problem,Immunoglobulin,Cryptosystem,Deep Learning,Explicit declaration,Cyborgs,Glycosylation,Central Nervous System,Cell therapy,,,,,,,,,,,,,,,,,,,,,
feature engineering,Meiosis,Cyber Crime,divisive clustering,Firebase,Cylindrical coordinate Robot,Immunotherapy,Cheng-Prusoff equation,Cell transplantation,,,,,,,,,,,,,,,,,,,,,
feature extraction,Messenger RNA,Cyber security,feature engineering,Full stack developer,Developmental Robotics,Kozak Sequence,Chromatography,cell-based imaging,,,,,,,,,,,,,,,,,,,,,
feature set,Mitosis,data breach,feature extraction,Git,Domestic Robotics,Metabolite,Clinical Design,cellular engineering,,,,,,,,,,,,,,,,,,,,,
feature vector,mRNA,Data protection,feature set,Github,Downtime,Molecular targeted drug,Clinical Supply,cellular imaging,,,,,,,,,,,,,,,,,,,,,
federated learning,Mutagen,Decipher,feature vector,Haskell,Embodied Cognitive Science,Nucleic Acids,Clinical Therapeutic Index,cellular models,,,,,,,,,,,,,,,,,,,,,
feedforward neural network,Nuclease,Denial of service,Hadoop,High level language,End effector,,Concentration response curve,cellular reprogramming,,,,,,,,,,,,,,,,,,,,,
fully connected layer,Peptide,Diffie Hellman key exchange,imbalanced dataset,Human computer interface,Epigenetic Robotics,,Contamination,cryobiology,,,,,,,,,,,,,,,,,,,,,
generative adversarial network,Peptide bond,digital forensics,Machine learning engineer,IDE,Evolutionary Robotics,,Dealthcare,cryonics,,,,,,,,,,,,,,,,,,,,,
gradient descent,Polymerase chain reaction,Digital signatures,machine learning model,Implicit declaration,Factory Automation,,Desensitization,Cryopreservation,,,,,,,,,,,,,,,,,,,,,
hyperparameter,rDNA,Distributed Denial of Service,Markov Chain,Independent testing,Field Robots,,Dissolution Time,Cytoplasmic hybrid embryos,,,,,,,,,,,,,,,,,,,,,
input layer,restriction endonuclease,Encipher,matplotlib,Intermediate code,Force Feedback,,Dose,embryonic stem cell,,,,,,,,,,,,,,,,,,,,,
Kernel Support Vector Machines,Restriction enzyme,Encryption,naive Bayes classifier,Interpreter,Forward Kinematic Solution,,Dose-Duration Curve,extracorporeal,,,,,,,,,,,,,,,,,,,,,
latent dirichlet allocation,RNA,firewall,neural network,Jackson Structured Programming,Forward Kinematics,,Drug Delivery,flow cytometry,,,,,,,,,,,,,,,,,,,,,
learning rate,Transfer RNA,Firmware,PageRank,Java,Gripper,,Electrophoresis,Foetal stem cell,,,,,,,,,,,,,,,,,,,,,
machine learning,tRNA,Forward secrecy,pivot table,JavaScript,Haptic feedback,,Emergency Medicine,Gene therapy,,,,,,,,,,,,,,,,,,,,,
model training,,Hacker,posterior distribution,JUnit,Human centered Automation,,Endocrinology,Genotype,,,,,,,,,,,,,,,,,,,,,
multinomial classification,,Hacktivist,predictive analytics,Machine code,Human centered Robotics,,Enzyme,Heterologous use,,,,,,,,,,,,,,,,,,,,,
natural language processing,,HTTP Secure,predictive modeling,Module library,Human robot,,Ethical Pharmaceutical,Heterotopic,,,,,,,,,,,,,,,,,,,,,
natural language understanding,,HTTPS,Predictive Modelling,Mutation testing,Humanoid,,Food and Drug Administration,Homologous use,,,,,,,,,,,,,,,,,,,,,
neural network,,Human centred security,preprocessing,NoSQL,Humanoid Robot Systems,,Habituation,Homotopic,,,,,,,,,,,,,,,,,,,,,
Output layer,,Information security,Prior distribution,Object oriented design,Industrial robot,,Hormone,human tissue engineered product,,,,,,,,,,,,,,,,,,,,,
overfitting,,keylogger,Reinforcement learning,Object-oriented language,Intelligent robot,,Infusion Kinetics,hybridoma,,,,,,,,,,,,,,,,,,,,,
perceptron,,malicious software,supervised learning,Pair programming,Intelligent systems,,Insulin,image cytometry,,,,,,,,,,,,,,,,,,,,,
pre-trained model,,Malware,support vector machine,Penetration testing,Intelligent Transportation Systems,,Kinase,immortalizing oncogene,,,,,,,,,,,,,,,,,,,,,
proxy labels,,Message authentication,Test set,Portable code,Inverse kinematics,,Lyophilisation,immunohistochemistry,,,,,,,,,,,,,,,,,,,,,
random forest,,Multi factor authentication,Training set,Portable software,Jacobian matrix,,Lyophiliser,Laser Capture Microdissection,,,,,,,,,,,,,,,,,,,,,
Rectified Linear Unit,,National Cybersecurity Strategy,trigram,Procedural language,Joint,,Microbial Barrier,laser tweezers,,,,,,,,,,,,,,,,,,,,,
recurrent neural network,,National Security Agency,Unstructured data,Program analysis,Joint Interpolated Motion,,Molecular Diagnostics,microdissection,,,,,,,,,,,,,,,,,,,,,
reinforcement learning,,Network security,unsupervised learning,Program repair,Joint Motion Type,,Mutagenesis,microimaging,,,,,,,,,,,,,,,,,,,,,
scikit learn,,Password protection,Validation set,Programming team,Joint Space,,Nonrenal Clearance,micromanipulation,,,,,,,,,,,,,,,,,,,,,
semi supervised learning,,Phishing,,Revision control,Kinematics,,Obstetrics,microtissues,,,,,,,,,,,,,,,,,,,,,
semi supervised machine learning,,Plaintext,,Scripting language,Logistics,,Partial agonist,nuclear transfer,,,,,,,,,,,,,,,,,,,,,
sentiment analysis,,Privacy,,Scrum,Marine Robotics,,Pharma,optical trapping,,,,,,,,,,,,,,,,,,,,,
sigmoid function,,Private data,,Scrum development,Material Processing Robot,,Pharma Resources,optical tweezers,,,,,,,,,,,,,,,,,,,,,
squared hinge loss,,Private key infrastructure,,Scrum master,Medical Robots,,Pharmaceutical Development,organotypic,,,,,,,,,,,,,,,,,,,,,
stochastic gradient descent,,Public key infrastructure,,Singleton pattern,Mining Robotics,,Pharmaceutical Research,organotypic models,,,,,,,,,,,,,,,,,,,,,
structural risk minimization,,ransomware,,Software bug,Motion Axis,,Pharmaceuticals,plasmid,,,,,,,,,,,,,,,,,,,,,
supervised learning,,ReCAPTCHA,,Software deployment,Motion Planning,,Pharmaceutics,Regenerative medicine,,,,,,,,,,,,,,,,,,,,,
supervised machine learning,,Rootkit,,Software development environment,Nanobot,,Pharmacodynamics,Scar tissue,,,,,,,,,,,,,,,,,,,,,
Support Vector Machines,,Routing security,,Software development process,Neurorobotics,,Pharmacogenetics,single cell analysis,,,,,,,,,,,,,,,,,,,,,
Tensor Processing Unit,,Scareware,,Software engineering,Offline programming,,Pharmacokinetics,site-directed mutagenesis,,,,,,,,,,,,,,,,,,,,,
TensorBoard,,Security,,Source code,Path Planning,,Pharmacological,small intestinal submucosa,,,,,,,,,,,,,,,,,,,,,
TensorFlow,,Social engineering,,Source code management,Pathfinding,,Pharmacology,Somatic cell nuclear transfer,,,,,,,,,,,,,,,,,,,,,
TensorFlow Serving,,Software security,,Source control,PLC,,Pharmacovigilance,stem cell,,,,,,,,,,,,,,,,,,,,,
test set,,Software Vulnerability,,SQL,Program robot,,Potency,synthetic lethal screening,,,,,,,,,,,,,,,,,,,,,
Training set,,spear phishing,,SVN,Programmable Logical Controller,,Preclinical Studies,Tissue,,,,,,,,,,,,,,,,,,,,,
transfer learning,,Spoofing,,Symbolic execution,Rehabilitation Robotics,,Proteomics,tumoroid,,,,,,,,,,,,,,,,,,,,,
underfitting,,spyware,,Systems analyst,Revolute Joint,,Toxicology,Ventricular assist device,,,,,,,,,,,,,,,,,,,,,
unsupervised learning,,SQL Injection,,Systems developer,Robot,,Yeast Artificial Chromosome,Xenogeneic,,,,,,,,,,,,,,,,,,,,,
unsupervised machine learning,,SSL certificate,,Systems specification,Robot controller,,Zoonosis,xenograft,,,,,,,,,,,,,,,,,,,,,
validation set,,Symmetric encryption,,Test driven development,Robot Coordinate System,,,xenotransplantation,,,,,,,,,,,,,,,,,,,,,
vanishing gradient problem,,TOR,,UML,Robot dynamics,,,,,,,,,,,,,,,,,,,,,,,,
Wasserstein loss,,Transport layer security,,Unified Modeling Language,Robot Integrator,,,,,,,,,,,,,,,,,,,,,,,,
,,Trojan,,Unit testing,Robot joint,,,,,,,,,,,,,,,,,,,,,,,,
,,two factor authentication,,Version control,Robot kinematics,,,,,,,,,,,,,,,,,,,,,,,,
,,Unenciphered message,,Visitor pattern,Robot motion planning,,,,,,,,,,,,,,,,,,,,,,,,
,,Virtual Private Network,,Waterfall model,Robot programming,,,,,,,,,,,,,,,,,,,,,,,,
,,Virtual Warfare,,,Robot Programming Language,,,,,,,,,,,,,,,,,,,,,,,,