AI and Machine Learning,Bioinformatics,Cybersecurity,Data Sciences,Software Engineering,Robotics,Synthetic Biology,Pharmacology and pharmaceuticals,Regenerative Medicine & Tissue Engineering,Promotion of Well-Being (Health Promotion),"Detection, Screening and Diagnosis",Behaviour Change,Advanced Biomaterials,Biophysics and Mechanobiology,Bioprocessing and Manufacturing,Computational Modelling & Mathematical Sciences,Devices and Sensors,Imaging / Novel Imaging Technology,Vaccine,Epidemiology
activation function,Amino acid,access control,bag of words,Agile development,Actuator,Active Pharmaceutical Ingredient,Active Site,Admixed embryo,determinants of health,biological markers,behaviour change,Hydrogel,Actomyosin contractility,Bioprocessing,Actuarial science,Accelerometers,Computed tomography,Active Immunity,Biological transmission
active learning,Anticodon,Admin privilege,Bayes Theorem,Agile methods,Agent Based Systems,Antibody,Adverse Drug Reaction,Allogeneic,health promotion,Cholesterol measurements,behaviour change techniques,Microfiber,Adhesome,Biomanufacturing,computational modelling,embedded systems,Fluoroscopy,Adjuvant,Chain of infection
agglomerative clustering,Antigen,Antivirus,Bayesian network,Alpha testing,Agricultural Automation,Antigen,Agonist,Allograft,health protection,Colonoscopy,behavioural interventions,Microfibre,biophysics,bioproduct,Computational science,Gas Sensors,fMRI,Antibody production,Common source outbreak
artificial general intelligence,Bioinformatics,Asymmetric encryption,Behavioural analytics,Anti patterns,Assembly Robot,Artemisinin,Allergic Response,artificial cells,health protective nutrients,develop diagnostic tests,behavioural risk,Nanofiber,Cellular mechanosensing,downstream processing,computer simulation modelling,Gyroscope,Imaging,Booster,control of infection
artificial intelligence,Carboxyl group,Authenticated encryption,Big data,Apache Subversion,Automaton,Autoimmune Disease,Allergy,artificial chromosomes,Health risk valuation,develop prognostic tests,Contemplation,Nanofibre,Cytoskeleton,upstream processing,Continuum mechanics,hardware system,MRI,Breakthrough infection,Direct transmission
augmented reality,cDNA,block cipher,bigram,Automated program repair,Autonomous Agents,Biobricks,Allosteric modulator,Artificial organs,healthy behaviors,diagnosis,healthy behaviour,Materials testing,Durotaxis,biorefinery,Control theory,Humidity Sensors,neuroradiology,community immunity,Disease spread
backpropagation,Chromatin,Botnet,data analysis,Beta testing,Autonomous systems,Biohacking,Analgesic,Autograft,Ottawa Charter,diagnostic method evaluation,Precontemplation,biomimetic,Extracellular matrix,bioproduction,Econometrics,Infrared Sensors,Radiology,Efficacy,Droplet spread
Bayesian neural network,Chromosome,Browser fingerprinting,Data analyst,Bytecode,Autonomous Technology,Biopharmaceutical,Anesthetic,Autologous,smoking cessation,diagnostic model evaluation,theory of planned behaviour,blood substitute,Fibrillar adhesion,bioprocess,Mathematical chemistry,Internet of Things,Ultrasound,Herd immunity,Endemic disease
binary classification,Codon,Brute force attack,Data analytics,Class diagram,Autonomous vehicle,Biosensor,Antibiotic,Bacterial artificial chromosome,wellbeing promotion,diagnostic procedures,theory of reasoned action,artificial membranes,Fluid Biomechanics,Bioreactor,mathematical sciences,Level Sensors,x-ray,Immunity,Epidemic
bounding box,Cytoplasm,Catfishing,data augmentation,Code bug,Autonomous Vehicle Navigation,Cell Line,Antibody,Bioartificial organs,patient-centeredness,differential diagnosis,theory-based behaviour change,artificial receptors,Focal complex,Process intensification,multiscale modelling,microcontroller,Imaging technology,Immunization,epidemic modelling
calibration layer,Cytosine,Cipher,data engineer,Code documentation,Bionics,Cell Strain,Antibody Production,biobanking,patient experience,early detection,Motivation theory,bone substitute,Integrins,biological product,Operations research,microprocessor,CT scan,Immunology,Epidemic period
classification model,Deoxyribonuclease,ciphertext,Data governance,Code refactoring,Cartesian coordinate Robot,Codon,Bacteria,biological specimen banks,culture of care,Fecal occult blood test,Family intervention,biocompatible materials,mechanobiology,,Quantitative biology,Optical Sensors,micro CT scan,Investigational vaccine,Epidemiologic triad
confusion matrix,deoxyribonucleic acid,Clickjacking,Data lake,Code smells,Climbing Robots,DNA,Bioassay,biorepository,healthcare service accessibility,Mammography,Behavioural treatment,nanobiomaterials,mechanochemical processes,,Statistics,Pressure Sensors,mammogram,Live vaccine,epidemiological networks
convolutional filter,DNA fingerprinting,Cloud security,Data mining,Code style,Cloud robotics,DNA Synthesis,Bioavailability,biospecimen,healthcare service affordability,marker discovery,,biopolymers,mechanoreception,,Theoretical physics,Proximity Sensors,nuclear imaging,Passive immunity,Hyperendemic disease
convolutional layer,DNA polymerase,Computer Network Attack,Data modeling,Data modeling,Cobots,Drug Delivery,Biologics,Blastocyst,reduce premature death,marker evaluation,,biometals,mechanoresponse,,,sensor,Positron emission tomography,Passive immunity,Incubation period
convolutional neural network,DNA sequencing,Computer virus,Data pool,Database management system,Cognitive Control Architectures,Drug Product,Biopharmaceutics,cell,physical activity promotion,Pap test,,bioceramics,Mechanosensing,,,Temperature Sensors,bone scan,Pathogen,Indirect transmission
decision tree,Enzyme,Computer worm,data science,Debugging,Cognitive Modeling,Fermentor,Biotech,cell assays,health education,physical examination,,smart biomaterials,Mechanosensitive channels,,,transducers,,Vaccination,Measure of dispersion
deep neural network,Gel electrophoresis,Credit Card Fraud,Data Set,Delta debugging,Collaborative Robot,Gene Drive,Biotransformation,Cell based medicinal product,,posthumous diagnosis,,biocompatibility,Mechanotransduction,,,Ultrasound sensor,,,Molecular epidemiology
dimension reduction,Gene expression,Crimeware,Data visualization,Design patterns,Collision Avoidance,Gene Expression,Biotranslocation,cell chips,,prediabetes,,,Nascent adhesion,,,Emotion recognition system,,,Outbreak
deep q-network,Genetic engineering,Crypojacking,Data Warehouse,Docker,"Compliant Robot
",Genetic Engineering,Body weight,Cell culture,,predictive marker,,,,,,Emotion recognition technology,,,Pandemic
empirical risk minimization,Genotype,cryptographic system,Data wrangling,Event driven language,Controlled robot,Genetically Modified Organism,Carcinogenicity,cell fusion,,Prostate specific antigen,,,,,,,,,Pathogenicity
epsilon greedy policy,Guanine,Cryptography,dataset,Executable code,Controlled robot dynamics,Genome,Central Nervous System,cell microarrays,,psychological markers,,,,,,,,,Pharmacoepidemiology
exploding gradient problem,Immunoglobulin,Cryptosystem,Deep Learning,Explicit declaration,Cyborgs,Glycosylation,Cheng-Prusoff equation,cell sorting,,screening impact,,,,,,,,,Propagated outbreak
feature engineering,Meiosis,Cyber Crime,divisive clustering,Firebase,Cylindrical coordinate Robot,Immunotherapy,Chromatography,Cell therapy,,,,,,,,,,,Secondary attack rate
feature extraction,Messenger RNA,Cyber security,feature engineering,Full stack developer,Developmental Robotics,Kozak Sequence,Clinical Design,Cell transplantation,,,,,,,,,,,Spread of infection
feature set,Mitosis,data breach,feature extraction,Git,Domestic Robotics,Metabolite,Clinical Supply,cell-based imaging,,,,,,,,,,,transmission of infection
feature vector,mRNA,Data protection,feature set,Github,Downtime,Molecular targeted drug,Clinical Therapeutic Index,cellular engineering,,,,,,,,,,,Universal precautions
federated learning,Mutagen,Decipher,feature vector,Haskell,Embodied Cognitive Science,Nucleic Acids,Concentration response curve,cellular imaging,,,,,,,,,,,Virulence
feedforward neural network,Nuclease,Denial of service,Hadoop,High level language,End effector,,Contamination,cellular models,,,,,,,,,,,Zoonoses
fully connected layer,Peptide,Diffie Hellman key exchange,imbalanced dataset,Human computer interface,Epigenetic Robotics,,Dealthcare,cellular reprogramming,,,,,,,,,,,Zoonosis
generative adversarial network,Peptide bond,digital forensics,Machine learning engineer,IDE,Evolutionary Robotics,,Desensitization,cryobiology,,,,,,,,,,,
gradient descent,Polymerase chain reaction,Digital signatures,machine learning model,Implicit declaration,Factory Automation,,Dissolution Time,cryonics,,,,,,,,,,,
hyperparameter,rDNA,Distributed Denial of Service,Markov Chain,Independent testing,Field Robots,,Dose,Cryopreservation,,,,,,,,,,,
input layer,restriction endonuclease,Encipher,matplotlib,Intermediate code,Force Feedback,,Dose-Duration Curve,Cytoplasmic hybrid embryos,,,,,,,,,,,
Kernel Support Vector Machines,Restriction enzyme,Encryption,naive Bayes classifier,Interpreter,Forward Kinematic Solution,,Drug Delivery,embryonic stem cell,,,,,,,,,,,
latent dirichlet allocation,RNA,firewall,neural network,Jackson Structured Programming,Forward Kinematics,,Electrophoresis,extracorporeal,,,,,,,,,,,
learning rate,Transfer RNA,Firmware,PageRank,Java,Gripper,,Emergency Medicine,flow cytometry,,,,,,,,,,,
machine learning,tRNA,Forward secrecy,pivot table,JavaScript,Haptic feedback,,Endocrinology,Foetal stem cell,,,,,,,,,,,
model training,,Hacker,posterior distribution,JUnit,Human centered Automation,,Enzyme,Gene therapy,,,,,,,,,,,
multinomial classification,,Hacktivist,predictive analytics,Machine code,Human centered Robotics,,Ethical Pharmaceutical,Genotype,,,,,,,,,,,
natural language processing,,HTTP Secure,predictive modeling,Module library,Human robot,,Food and Drug Administration,Heterologous use,,,,,,,,,,,
natural language understanding,,HTTPS,Predictive Modelling,Mutation testing,Humanoid,,Habituation,Heterotopic,,,,,,,,,,,
neural network,,Human centred security,preprocessing,NoSQL,Humanoid Robot Systems,,Hormone,Homologous use,,,,,,,,,,,
Output layer,,Information security,Prior distribution,Object oriented design,Industrial robot,,Infusion Kinetics,Homotopic,,,,,,,,,,,
overfitting,,keylogger,Reinforcement learning,Object-oriented language,Intelligent robot,,Insulin,human tissue engineered product,,,,,,,,,,,
perceptron,,malicious software,supervised learning,Pair programming,Intelligent systems,,Kinase,hybridoma,,,,,,,,,,,
pre-trained model,,Malware,support vector machine,Penetration testing,Intelligent Transportation Systems,,Lyophilisation,image cytometry,,,,,,,,,,,
proxy labels,,Message authentication,Test set,Portable code,Inverse kinematics,,Lyophiliser,immortalizing oncogene,,,,,,,,,,,
random forest,,Multi factor authentication,Training set,Portable software,Jacobian matrix,,Microbial Barrier,immunohistochemistry,,,,,,,,,,,
Rectified Linear Unit,,National Cybersecurity Strategy,trigram,Procedural language,Joint,,Molecular Diagnostics,Laser Capture Microdissection,,,,,,,,,,,
recurrent neural network,,National Security Agency,Unstructured data,Program analysis,Joint Interpolated Motion,,Mutagenesis,laser tweezers,,,,,,,,,,,
reinforcement learning,,Network security,unsupervised learning,Program repair,Joint Motion Type,,Nonrenal Clearance,microdissection,,,,,,,,,,,
scikit learn,,Password protection,Validation set,Programming team,Joint Space,,Obstetrics,microimaging,,,,,,,,,,,
semi supervised learning,,Phishing,,Revision control,Kinematics,,Partial agonist,micromanipulation,,,,,,,,,,,
semi supervised machine learning,,Plaintext,,Scripting language,Logistics,,Pharma,microtissues,,,,,,,,,,,
sentiment analysis,,Privacy,,Scrum,Marine Robotics,,Pharma Resources,nuclear transfer,,,,,,,,,,,
sigmoid function,,Private data,,Scrum development,Material Processing Robot,,Pharmaceutical Development,optical trapping,,,,,,,,,,,
squared hinge loss,,Private key infrastructure,,Scrum master,Medical Robots,,Pharmaceutical Research,optical tweezers,,,,,,,,,,,
stochastic gradient descent,,Public key infrastructure,,Singleton pattern,Mining Robotics,,Pharmaceuticals,organotypic,,,,,,,,,,,
structural risk minimization,,ransomware,,Software bug,Motion Axis,,Pharmaceutics,organotypic models,,,,,,,,,,,
supervised learning,,ReCAPTCHA,,Software deployment,Motion Planning,,Pharmacodynamics,plasmid,,,,,,,,,,,
supervised machine learning,,Rootkit,,Software development environment,Nanobot,,Pharmacogenetics,Regenerative medicine,,,,,,,,,,,
Support Vector Machines,,Routing security,,Software development process,Neurorobotics,,Pharmacokinetics,Scar tissue,,,,,,,,,,,
Tensor Processing Unit,,Scareware,,Software engineering,Offline programming,,Pharmacological,single cell analysis,,,,,,,,,,,
TensorBoard,,Security,,Source code,Path Planning,,Pharmacology,site-directed mutagenesis,,,,,,,,,,,
TensorFlow,,Social engineering,,Source code management,Pathfinding,,Pharmacovigilance,small intestinal submucosa,,,,,,,,,,,
TensorFlow Serving,,Software security,,Source control,PLC,,Potency,Somatic cell nuclear transfer,,,,,,,,,,,
test set,,Software Vulnerability,,SQL,Program robot,,Preclinical Studies,stem cell,,,,,,,,,,,
Training set,,spear phishing,,SVN,Programmable Logical Controller,,Proteomics,synthetic lethal screening,,,,,,,,,,,
transfer learning,,Spoofing,,Symbolic execution,Rehabilitation Robotics,,Toxicology,Tissue,,,,,,,,,,,
underfitting,,spyware,,Systems analyst,Revolute Joint,,Yeast Artificial Chromosome,tumoroid,,,,,,,,,,,
unsupervised learning,,SQL Injection,,Systems developer,Robot,,,Ventricular assist device,,,,,,,,,,,
unsupervised machine learning,,SSL certificate,,Systems specification,Robot controller,,,Xenogeneic,,,,,,,,,,,
validation set,,Symmetric encryption,,Test driven development,Robot Coordinate System,,,xenograft,,,,,,,,,,,
vanishing gradient problem,,TOR,,UML,Robot dynamics,,,xenotransplantation,,,,,,,,,,,
Wasserstein loss,,Transport layer security,,Unified Modeling Language,Robot Integrator,,,,,,,,,,,,,,
,,Trojan,,Unit testing,Robot joint,,,,,,,,,,,,,,
,,two factor authentication,,Version control,Robot kinematics,,,,,,,,,,,,,,
,,Unenciphered message,,Visitor pattern,Robot motion planning,,,,,,,,,,,,,,
,,Virtual Private Network,,Waterfall model,Robot programming,,,,,,,,,,,,,,
,,Virtual Warfare,,,Robot Programming Language,,,,,,,,,,,,,,
